Season,Episode,Character,Line
5,4,Cartman,"Oh, nothing. No big deal, really.
"
2,4,Stan,"Naturally.
"
5,5,Cartman,"Kyle, none of this would be happening if you hadn't LIED in the first place! You lied, and then you lied to cover up your lie!
"
16,9,Stan,"You find a good catcher's mitt, Cartman?
"
11,14,Wendy,"This is a nice surprise. I thought you were never speaking to me again.
"
11,5,Kyle,"I don't see it.
"
1,4,Cartman,"Yeah dude, I think your dog is gay.
"
12,10,Cartman,"There's no talking to this guy.
"
16,1,Randy,"Aw, you people have me on camera now?
"
12,9,Wendy,"I can't fight you because you came crying to my house last night with your mom!
"
6,13,Kyle,"No, Butters. Look what it's done to you. It's made you even lamer than before.
"
1,7,Kyle,"Wow! Cool!
"
3,1,Stan,"Help ...him?
"
5,1,Kyle,"Hey you guys! Look what I have!
"
6,3,Butters,"I'm sorry, but the answer is un uh, uh uh, uh uh. 
"
14,10,Randy,"Aw come on, that's stupid. How's that, how's that even possible?
"
3,8,Mr. Garrison,"Well, hell, turn it up.
"
16,7,Cartman,"Everything's great, Mom.  No! Come back here and flush the toilet, you silly! Noohoho! 
"
3,6,Mr. Garrison,"Okay, baby, I'm sorry.
"
13,11,Kenny,"(I would do anything!) 
"
2,15,Stan,"Now we'll never know where that pet store is!
"
13,5,Cartman,"No, no. Polacks aren't that funny dude. Try somethin' else. 
"
6,13,Butters,"It wantses to stay with the Butter kid.
"
11,14,Wendy,"No. Not Bebe.
"
2,5,Cartman,"Now, let's try not to send anyone to that monster nurse this time, Frenchy.
"
2,8,Mr. Garrison,"What?!
"
17,10,Mr. Mackey,"No! No excuses! You have a problem bein' jelly, Wendy! Okay?! Just maybe, I should have you sent off to jelly school!
"
3,3,Cartman,"So, what does that mean?
"
12,4,Butters,"I said what what? In the butt
I said what what? In the butt
I said what what? In the butt 
I said what what? In the butt
You wanna do it in my butt, in my butt?
You wanna do it in my butt, in my butt?
You wanna do it in my butt, in my butt? 
Let's do it in the butt. O-kay!
It's okay
Ih-if you have a little fight
Don't you worry
I won't bite (Not that hard)
If you want it
I'll give you power
Just be gentle
I'm delicate like a flower
Give it to me, if you please
Give it to me, if you please
"
2,18,Kyle,"Kenny, who found the ice man?
"
15,10,Wendy,"You like looking at girls' butt cracks, Stan?!
"
2,8,Stan,"But Cartman, we're trying to--
"
5,14,Stan,"Damn, dude.
"
7,11,Cartman,"Thank me by living, Butters. Live. And... rebuild.  I've got to go. Remember, wait one week for the toxic levels to go down. On Saturday.  G-goodbye!  All right. Just six days, Butters. Sit tight.
"
3,8,Randy,"Yeah. Hey uh, if you watch another guy masturbate, does that make you gay?
"
2,18,Kyle,"Oh.
"
11,4,Kyle,"What?
"
7,7,Stan,"We just gotta figure out a way to raise three hundred thousand dollars! 
"
6,11,Randy,"Good-bye, kids. We'll... never forget you. 
"
